"","nr","formulario","time","pidstr","frm2","frm3","frm4","age","female","income","educgrp","cordoba","info","pid","polar","mandate"
"503",503,1,1,NA,0,0,0,69,1,5,2,1,1,0,2,1
"504",504,2,3,7,1,0,0,63,0,3,2,1,1,1,1,1
"505",505,4,3,NA,0,0,1,41,1,5,2,1,0,0,NA,1
"506",506,3,2,NA,0,1,0,43,0,NA,2,1,1,0,10,2
"507",507,1,1,NA,0,0,0,64,1,4,2,1,1,0,NA,1
"508",508,4,3,9,0,0,1,32,1,NA,3,1,0,1,7,1
"509",509,3,2,NA,0,1,0,75,1,NA,1,1,1,0,NA,1
"510",510,2,2,10,1,0,0,28,0,5,2,1,1,1,6,1
"511",511,2,1,NA,1,0,0,33,0,5,4,1,1,0,NA,4
"512",512,1,1,10,0,0,0,53,0,3,1,1,0,1,NA,5
"513",513,1,1,8,0,0,0,43,1,3,1,1,0,1,7,5
"514",514,3,1,NA,0,1,0,41,1,4,2,1,0,0,NA,2
"515",515,2,2,NA,1,0,0,23,1,2,2,1,0,1,8,2
"516",516,4,2,8,0,0,1,24,1,3,2,1,0,1,NA,2
"517",517,3,2,NA,0,1,0,27,1,2,2,1,0,0,6,2
"518",518,2,3,3,1,0,0,41,0,2,2,1,1,1,NA,1
"519",519,4,3,NA,0,0,1,20,1,5,2,1,1,0,NA,1
"520",520,1,1,NA,0,0,0,55,0,10,1,1,1,0,NA,5
"521",521,3,2,NA,0,1,0,46,0,3,2,1,0,0,5,1
"522",522,2,3,10,1,0,0,31,0,4,3,1,1,1,NA,1
"523",523,1,1,NA,0,0,0,32,0,5,2,1,1,0,NA,1
"524",524,4,3,NA,0,0,1,50,0,4,2,1,1,0,2,1
"525",525,2,3,10,1,0,0,64,1,3,2,1,0,1,10,1
"526",526,1,2,NA,0,0,0,34,1,6,2,1,0,0,NA,1
"527",527,3,2,NA,0,1,0,36,1,3,2,1,0,0,5,1
"528",528,2,3,10,1,0,0,36,1,5,3,1,0,1,NA,1
"529",529,1,2,NA,0,0,0,50,0,NA,2,1,2,0,0,1
"530",530,4,2,NA,0,0,1,NA,1,4,2,1,0,0,6,1
"531",531,1,1,NA,0,0,0,32,1,5,2,1,1,0,8,2
"532",532,3,1,NA,0,1,0,52,1,3,3,1,1,0,NA,3
"533",533,4,1,NA,0,0,1,69,1,5,2,1,1,0,NA,1
"534",534,1,1,NA,0,0,0,42,0,NA,2,1,1,0,6,1
"535",535,4,3,NA,0,0,1,40,0,4,2,1,1,0,4,5
"536",536,1,1,NA,0,0,0,31,1,10,3,1,1,0,2,1
"537",537,2,1,NA,1,0,0,26,1,5,3,1,1,0,7,1
"538",538,2,1,NA,1,0,0,26,0,10,3,1,2,0,5,1
"539",539,3,2,NA,0,1,0,33,1,6,3,1,1,0,6,1
"540",540,2,2,NA,1,0,0,74,0,5,1,1,1,0,NA,1
"541",541,3,1,NA,0,1,0,43,1,10,4,1,0,0,NA,1
"542",542,2,3,7,1,0,0,66,0,10,4,1,1,1,6,1
"543",543,4,2,NA,0,0,1,32,1,4,3,1,1,0,0,2
"544",544,1,1,8,0,0,0,57,0,10,3,1,1,1,8,3
"545",545,1,2,NA,0,0,0,21,0,4,3,1,0,0,6,2
"546",546,3,1,NA,0,1,0,66,0,5,3,1,1,0,NA,1
"547",547,4,1,NA,0,0,1,41,1,2,3,1,1,0,NA,1
"548",548,2,2,8,1,0,0,53,0,7,4,1,2,1,10,1
"549",549,4,3,NA,0,0,1,33,1,7,3,1,1,0,NA,1
"550",550,3,2,6,0,1,0,38,1,3,3,1,1,1,2,1
"551",551,4,3,8,0,0,1,32,1,5,4,1,1,1,5,2
"552",552,4,3,NA,0,0,1,41,0,10,4,1,1,0,3,1
"553",553,1,1,5,0,0,0,55,0,10,2,1,2,1,6,3
"554",554,1,2,NA,0,0,0,49,0,NA,2,1,2,0,NA,1
"555",555,2,2,9,1,0,0,44,1,NA,4,1,1,1,7,1
"556",556,2,2,NA,1,0,0,48,1,5,1,1,0,0,NA,1
"557",557,3,2,NA,0,1,0,64,1,3,3,1,2,0,7,1
"558",558,1,1,8,0,0,0,52,1,6,3,1,1,1,5,2
"559",559,4,2,NA,0,0,1,46,1,NA,3,1,1,0,NA,1
"560",560,3,2,NA,0,1,0,20,0,7,3,1,1,0,3,2
"561",561,4,1,9,0,0,1,42,0,5,3,1,1,1,5,5
"562",562,4,2,5,0,0,1,18,0,9,4,1,1,1,NA,4
